rol,model,fase,region,combinacio,p_generosa_A,p_generosa_B,diff_posicio,bias_detectat
responder,llama-4-maverick,2,south_america,60,1.0,1.0,0.0,False
responder,llama-4-maverick,2,south_america,70,1.0,1.0,0.0,False
responder,llama-4-maverick,2,south_america,80,1.0,1.0,0.0,False
responder,llama-4-maverick,2,south_america,90,1.0,1.0,0.0,False
responder,llama-4-maverick,2,south_america,100,1.0,1.0,0.0,False
responder,llama-4-maverick,3,asia,0,0.0,0.0,0.0,False
responder,llama-4-maverick,3,asia,10,0.0,0.0,0.0,False
responder,llama-4-maverick,3,asia,20,0.0,0.0,0.0,False
responder,llama-4-maverick,3,asia,30,0.0,0.2,0.2,False
responder,llama-4-maverick,3,asia,40,0.8,1.0,0.2,False
responder,llama-4-maverick,3,asia,50,1.0,1.0,0.0,False
responder,llama-4-maverick,3,asia,60,1.0,1.0,0.0,False
responder,llama-4-maverick,3,asia,70,1.0,1.0,0.0,False
responder,llama-4-maverick,3,asia,80,1.0,1.0,0.0,False
responder,llama-4-maverick,3,asia,90,1.0,1.0,0.0,False
responder,llama-4-maverick,3,asia,100,1.0,1.0,0.0,False
responder,llama-4-maverick,3,neo_europe,0,0.0,0.0,0.0,False
responder,llama-4-maverick,3,neo_europe,10,0.0,0.1,0.1,False
responder,llama-4-maverick,3,neo_europe,20,0.0,0.0,0.0,False
responder,llama-4-maverick,3,neo_europe,30,0.3,1.0,0.7,True
responder,llama-4-maverick,3,neo_europe,40,1.0,1.0,0.0,False
responder,llama-4-maverick,3,neo_europe,50,1.0,1.0,0.0,False
responder,llama-4-maverick,3,neo_europe,60,1.0,1.0,0.0,False
responder,llama-4-maverick,3,neo_europe,70,1.0,1.0,0.0,False
responder,llama-4-maverick,3,neo_europe,80,1.0,1.0,0.0,False
responder,llama-4-maverick,3,neo_europe,90,1.0,1.0,0.0,False
responder,llama-4-maverick,3,neo_europe,100,1.0,1.0,0.0,False
responder,llama-4-maverick,3,south_america,0,1.0,1.0,0.0,False
responder,llama-4-maverick,3,south_america,10,1.0,1.0,0.0,False
responder,llama-4-maverick,3,south_america,20,1.0,1.0,0.0,False
responder,llama-4-maverick,3,south_america,30,1.0,1.0,0.0,False
responder,llama-4-maverick,3,south_america,40,1.0,1.0,0.0,False
responder,llama-4-maverick,3,south_america,50,1.0,1.0,0.0,False
responder,llama-4-maverick,3,south_america,60,1.0,1.0,0.0,False
responder,llama-4-maverick,3,south_america,70,1.0,1.0,0.0,False
responder,llama-4-maverick,3,south_america,80,1.0,1.0,0.0,False
responder,llama-4-maverick,3,south_america,90,1.0,1.0,0.0,False
responder,llama-4-maverick,3,south_america,100,1.0,1.0,0.0,False
proposer,llama-4-maverick,1,baseline,10vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,1,baseline,20vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,1,baseline,30vs40,1.0,0.9,0.1,False
proposer,llama-4-maverick,1,baseline,35vs40,1.0,0.5,0.5,True
proposer,llama-4-maverick,1,baseline,38vs46,0.8,0.7,0.1,False
proposer,llama-4-maverick,1,baseline,39vs41,0.0,0.1,0.1,False
proposer,llama-4-maverick,1,baseline,39vs45,0.9,0.4,0.5,True
proposer,llama-4-maverick,1,baseline,40vs50,0.8,0.1,0.7,True
proposer,llama-4-maverick,1,baseline,40vs60,0.0,0.2,0.2,False
proposer,llama-4-maverick,1,baseline,41vs45,0.3,0.1,0.2,False
proposer,llama-4-maverick,2,asia,10vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,2,asia,20vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,2,asia,30vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,2,asia,35vs40,0.5,0.8,0.3,True
proposer,llama-4-maverick,2,asia,38vs46,0.5,0.9,0.4,True
proposer,llama-4-maverick,2,asia,39vs41,0.6,0.3,0.3,False
proposer,llama-4-maverick,2,asia,39vs45,1.0,0.6,0.4,True
proposer,llama-4-maverick,2,asia,40vs50,0.8,0.1,0.7,True
proposer,llama-4-maverick,2,asia,40vs60,0.2,0.0,0.2,False
proposer,llama-4-maverick,2,asia,41vs45,0.1,0.0,0.1,False
proposer,llama-4-maverick,2,neo_europe,10vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,2,neo_europe,20vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,2,neo_europe,30vs40,1.0,0.7,0.3,True
proposer,llama-4-maverick,2,neo_europe,35vs40,0.8,0.9,0.1,False
proposer,llama-4-maverick,2,neo_europe,38vs46,0.3,0.6,0.3,False
proposer,llama-4-maverick,2,neo_europe,39vs41,0.2,0.1,0.1,False
proposer,llama-4-maverick,2,neo_europe,39vs45,0.3,0.5,0.2,False
proposer,llama-4-maverick,2,neo_europe,40vs50,0.4,0.0,0.4,True
proposer,llama-4-maverick,2,neo_europe,40vs60,0.0,0.0,0.0,False
proposer,llama-4-maverick,2,neo_europe,41vs45,0.1,0.1,0.0,False
proposer,llama-4-maverick,2,south_america,10vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,2,south_america,20vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,2,south_america,30vs40,0.7,0.7,0.0,False
proposer,llama-4-maverick,2,south_america,35vs40,0.7,0.3,0.4,True
proposer,llama-4-maverick,2,south_america,38vs46,0.6,0.2,0.4,True
proposer,llama-4-maverick,2,south_america,39vs41,0.7,0.2,0.5,True
proposer,llama-4-maverick,2,south_america,39vs45,0.5,0.0,0.5,True
proposer,llama-4-maverick,2,south_america,40vs50,0.7,0.1,0.6,True
proposer,llama-4-maverick,2,south_america,40vs60,0.0,0.0,0.0,False
proposer,llama-4-maverick,2,south_america,41vs45,0.0,0.0,0.0,False
proposer,llama-4-maverick,3,asia,10vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,asia,20vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,asia,30vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,asia,35vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,asia,38vs46,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,asia,39vs41,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,asia,39vs45,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,asia,40vs50,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,asia,40vs60,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,asia,41vs45,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,neo_europe,10vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,neo_europe,20vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,neo_europe,30vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,neo_europe,35vs40,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,neo_europe,38vs46,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,neo_europe,39vs41,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,neo_europe,39vs45,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,neo_europe,40vs50,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,neo_europe,40vs60,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,neo_europe,41vs45,1.0,1.0,0.0,False
proposer,llama-4-maverick,3,south_america,10vs40,1.0,0.2,0.8,True
proposer,llama-4-maverick,3,south_america,20vs40,1.0,0.3,0.7,True
proposer,llama-4-maverick,3,south_america,30vs40,0.4,0.0,0.4,True
proposer,llama-4-maverick,3,south_america,35vs40,0.7,0.0,0.7,True
proposer,llama-4-maverick,3,south_america,38vs46,0.6,0.0,0.6,True
proposer,llama-4-maverick,3,south_america,39vs41,0.1,0.0,0.1,False
proposer,llama-4-maverick,3,south_america,39vs45,0.3,0.0,0.3,False
proposer,llama-4-maverick,3,south_america,40vs50,0.0,0.0,0.0,False
proposer,llama-4-maverick,3,south_america,40vs60,0.0,0.0,0.0,False
proposer,llama-4-maverick,3,south_america,41vs45,0.0,0.0,0.0,False
