rol,model,fase,region,combinacio,p_generosa_A,p_generosa_B,diff_posicio,bias_detectat
proposer,Mistral-7B-Instruct-v0.3,2,south_america,41vs45,0.0,0.4,0.4,True
proposer,Mistral-7B-Instruct-v0.3,3,asia,10vs40,1.0,1.0,0.0,False
proposer,Mistral-7B-Instruct-v0.3,3,asia,20vs40,1.0,1.0,0.0,False
proposer,Mistral-7B-Instruct-v0.3,3,asia,30vs40,1.0,1.0,0.0,False
proposer,Mistral-7B-Instruct-v0.3,3,asia,35vs40,1.0,1.0,0.0,False
proposer,Mistral-7B-Instruct-v0.3,3,asia,38vs46,1.0,0.0,1.0,True
proposer,Mistral-7B-Instruct-v0.3,3,asia,39vs41,1.0,0.2,0.8,True
proposer,Mistral-7B-Instruct-v0.3,3,asia,39vs45,1.0,1.0,0.0,False
proposer,Mistral-7B-Instruct-v0.3,3,asia,40vs50,1.0,1.0,0.0,False
proposer,Mistral-7B-Instruct-v0.3,3,asia,40vs60,1.0,0.9,0.1,False
proposer,Mistral-7B-Instruct-v0.3,3,asia,41vs45,0.0,1.0,1.0,True
proposer,Mistral-7B-Instruct-v0.3,3,neo_europe,10vs40,1.0,1.0,0.0,False
proposer,Mistral-7B-Instruct-v0.3,3,neo_europe,20vs40,1.0,0.0,1.0,True
proposer,Mistral-7B-Instruct-v0.3,3,neo_europe,30vs40,1.0,0.0,1.0,True
proposer,Mistral-7B-Instruct-v0.3,3,neo_europe,35vs40,1.0,1.0,0.0,False
proposer,Mistral-7B-Instruct-v0.3,3,neo_europe,38vs46,1.0,0.0,1.0,True
proposer,Mistral-7B-Instruct-v0.3,3,neo_europe,39vs41,1.0,1.0,0.0,False
proposer,Mistral-7B-Instruct-v0.3,3,neo_europe,39vs45,1.0,1.0,0.0,False
proposer,Mistral-7B-Instruct-v0.3,3,neo_europe,40vs50,1.0,0.0,1.0,True
proposer,Mistral-7B-Instruct-v0.3,3,neo_europe,40vs60,1.0,1.0,0.0,False
proposer,Mistral-7B-Instruct-v0.3,3,neo_europe,41vs45,1.0,1.0,0.0,False
proposer,Mistral-7B-Instruct-v0.3,3,south_america,10vs40,1.0,0.6,0.4,True
proposer,Mistral-7B-Instruct-v0.3,3,south_america,20vs40,1.0,0.1,0.9,True
proposer,Mistral-7B-Instruct-v0.3,3,south_america,30vs40,0.0,0.5,0.5,True
proposer,Mistral-7B-Instruct-v0.3,3,south_america,35vs40,0.0,0.0,0.0,False
proposer,Mistral-7B-Instruct-v0.3,3,south_america,38vs46,0.5,0.0,0.5,True
proposer,Mistral-7B-Instruct-v0.3,3,south_america,39vs41,0.8,0.2,0.6,True
proposer,Mistral-7B-Instruct-v0.3,3,south_america,39vs45,0.1,0.2,0.1,False
proposer,Mistral-7B-Instruct-v0.3,3,south_america,40vs50,0.0,0.0,0.0,False
proposer,Mistral-7B-Instruct-v0.3,3,south_america,40vs60,0.0,1.0,1.0,True
proposer,Mistral-7B-Instruct-v0.3,3,south_america,41vs45,0.0,1.0,1.0,True
